Fiscal_Year,Library,County,AENGLC_Rank,Population_of_Service_Area,Total_Library_Visits,Total_Registered_Borrowers,Percent_of_Residents_with_Library_Cards,Reference_Questions,Total_Circulation,Total_Programs_(Synchronous_+_Prerecorded),Total_Program_Attendance_&_Views,Total_Collection,Total_Operating_Income,Town_Tax_Appropriation_for_Library,Tax_Appropriation_Per_Capita_Served,Wages_&_Salaries_Expenditures,Operating_Expenditures,Operating_Expenditures_Per_Capita,Visits_per_Borrower,References_per_Borrower,Population_Group,Log_Population,Program_Attendance_per_Capita
1996,Andover,Tolland,109.0,2815.0,15000.0,1313.0,0.47,499.0,17028.0,117.0,860.0,15285.0,56300.0,52915.0,18.8,30996.0,44290.0,15.7,11.424219345011425,0.38004569687738005,Pequeña,7.943072717277933,0.30550621669627
1996,Ansonia,New Haven,158.0,17825.0,91756.0,6952.0,0.39,,71301.0,153.0,4525.0,63685.0,320679.0,323503.0,18.15,201621.0,270658.0,15.2,13.198504027617952,,Mediana,9.788413344690662,0.2538569424964937
1996,Ashford-Babcock,Windham,131.0,3969.0,8665.0,1360.0,0.34,207.0,34574.0,22.0,780.0,23818.0,111699.0,106713.0,26.89,62295.0,82769.0,20.9,6.3713235294117645,0.15220588235294116,Pequeña,8.286521373681236,0.1965230536659108
1996,Avon,Hartford,19.0,14143.0,162893.0,8808.0,0.62,15283.0,226137.0,345.0,9501.0,74903.0,685678.0,602831.0,42.62,340400.0,516583.0,36.5,18.493755676657585,1.7351271571298819,Mediana,9.557045784877424,0.6717810931202716
1996,Beacon Falls,New Haven,129.0,5351.0,7000.0,1379.0,0.26,400.0,8880.0,22.0,223.0,10042.0,40806.0,39256.0,7.34,21585.0,39165.0,7.3,5.0761421319796955,0.290065264684554,Pequeña,8.585225601808064,0.04167445337320127
1996,Berlin-Peck,Hartford,52.0,16792.0,,8142.0,0.48,6081.0,217517.0,376.0,,92322.0,638641.0,643771.0,38.34,320919.0,480642.0,28.6,,0.7468680913780398,Mediana,9.728717411895008,
1996,Bethany - Clark,New Haven,54.0,4845.0,19500.0,3100.0,0.64,696.0,40500.0,45.0,395.0,32178.0,46497.0,36483.0,7.53,21720.0,39231.0,8.1,6.290322580645161,0.22451612903225807,Pequeña,8.48590890137647,0.08152734778121776
1996,Bethel,Fairfield,74.0,17921.0,155316.0,12546.0,0.7,16796.0,136014.0,186.0,4706.0,83123.0,375789.0,371859.0,20.75,229724.0,364548.0,20.3,12.379722620755619,1.3387533875338753,Mediana,9.793784287444165,0.26259695329501703
1996,Bethlehem,Litchfield,73.0,3324.0,17478.0,1952.0,0.59,,33532.0,37.0,670.0,22966.0,62571.0,56000.0,16.85,37448.0,47980.0,14.4,8.95389344262295,,Pequeña,8.109224953089955,0.20156438026474127
1996,Bloomfield - Prosser,Hartford,55.0,18546.0,,9156.0,0.49,15408.0,194144.0,418.0,9935.0,118282.0,708697.0,694710.0,37.46,531196.0,678787.0,36.6,,1.6828309305373526,Mediana,9.828063329889288,0.5356950285775909
1996,Bolton - Bentley,Tolland,93.0,4792.0,15600.0,3575.0,0.75,784.0,43919.0,141.0,1801.0,33141.0,147439.0,150757.0,31.46,99110.0,150407.0,31.4,4.363636363636363,0.21930069930069931,Pequeña,8.474911799159631,0.3758347245409015
1996,Branford - Blackstone,New Haven,53.0,28043.0,56297.0,23305.0,0.83,5832.0,154942.0,351.0,5967.0,91927.0,621874.0,443745.0,15.82,381143.0,518961.0,18.5,2.4156618751340915,0.2502467281699206,Mediana,10.241529984326858,0.21278037299860927
1996,Branford - Willoughby,New Haven,53.0,,6000.0,2500.0,0.09,3000.0,41688.0,30.0,1800.0,31210.0,108198.0,88957.0,3.17,58214.0,102664.0,3.7,2.4,1.2,,,
1996,Bridgeport,Fairfield,168.0,13145.0,278032.0,5261.0,0.33,5832.0,348993.0,392.0,7509.0,58039.0,473641.5,386715.0,21.39,281623.0,470742.5,19.5,52.847747576506364,1.1085344991446493,Mediana,9.483872808823522,0.5712438189425637
1996,Bridgewater - Burnham,Litchfield,21.0,1724.0,14127.0,841.0,0.49,,21751.0,78.0,4796.0,30897.0,80676.0,46500.0,26.97,49708.0,69621.0,40.4,16.797859690844234,,Pequeña,7.45298232946546,2.7819025522041763
1996,Bristol,Hartford,136.0,13145.0,105925.0,19974.0,0.33,20828.0,311762.0,477.0,13389.0,139195.0,1202928.0,1090195.0,18.27,756008.0,1039052.0,17.4,5.303144087313507,1.042755582256934,Mediana,9.483872808823522,1.018562190947128
1996,Brookfield,Fairfield,38.0,14691.0,113765.0,6818.0,0.46,14716.0,145604.0,177.0,5737.0,59060.0,360844.0,330750.0,22.51,220873.0,335795.0,22.9,16.685978292754474,2.158404224112643,Mediana,9.595058406939557,0.3905111973316997
1996,Brooklyn,Windham,149.0,6642.0,14040.0,2492.0,0.38,1500.0,27209.0,18.0,647.0,19047.0,74007.0,63685.0,9.59,31033.0,62812.0,9.5,5.634028892455858,0.6019261637239165,Pequeña,8.80131894766524,0.09741041854862993
1996,Burlington,Hartford,71.0,7656.0,28425.0,2691.0,0.35,960.0,45574.0,79.0,1561.0,28644.0,116564.0,111275.0,14.53,75091.0,104875.0,13.7,10.56298773690078,0.35674470457079155,Pequeña,8.943375541113124,0.20389237199582028
1996,Canaan - David Hunt,Litchfield,40.0,1272.0,14456.0,667.0,0.52,,15724.0,144.0,1757.0,25680.0,71512.0,25000.0,19.65,26784.0,42505.0,33.4,21.673163418290855,,Pequeña,7.149131598557407,1.3812893081761006
1996,Canterbury,Windham,152.0,4658.0,4420.0,1138.0,0.24,,11715.0,,,12511.0,28563.0,26289.0,5.64,13859.0,24029.0,5.2,3.8840070298769773,,Pequeña,8.446556111816797,
1996,Canton,Hartford,64.0,8453.0,15964.0,7120.0,0.84,,37061.0,156.0,,45947.0,229595.0,196000.0,23.19,122102.0,159520.0,18.9,2.242134831460674,,Pequeña,9.042394981126735,
1996,Chaplin,Windham,135.0,2183.0,3120.0,572.0,0.26,,6865.0,,,13726.0,22270.0,22270.0,10.2,12191.0,18804.0,8.6,5.454545454545454,,Pequeña,7.688913336864796,
1996,Cheshire,New Haven,65.0,26691.0,74625.0,22500.0,0.84,17017.0,211014.0,50.0,521.0,100162.0,816549.0,773596.0,28.98,626715.0,816548.0,30.6,3.316666666666667,0.7563111111111112,Mediana,10.192119174023498,0.019519688284440447
1996,Chester,Middlesex,61.0,3621.0,22000.0,2700.0,0.75,937.0,32773.0,44.0,1049.0,14354.0,42441.0,35413.0,9.78,26781.0,42441.0,11.7,8.148148148148149,0.34703703703703703,Pequeña,8.19478163844336,0.2896989781828224
